"","country_id","country_name","salary","expenditure_percapita"
"1","ARG","Argentina",9647,7612.858
"2","AUS","Australia",62300,31928.353
"3","AUT","Austria",45807.35,22390.217
"4","BRA","Brazil",16748.51,5431.875
"5","CAN","Canada",55345,25567.441
"6","CHE","Switzerland",99302,43729.155
"7","CHL","Chile",18194.714,9657.872
"8","CHN","China",25788.78,4698.876
"9","COL","Colombia",9684,4753.92
"10","CRI","Costa Rica",35316,8141.64
"11","CZE","Czech Republic",12203,9255.229
"12","DEU","Germany",59049.3016631247,21587.115
"13","DNK","Denmark",55184,27471.908
"14","EST","Estonia",19061.22,10664.238
"15","FIN","Finland",42216.5631587502,24112.507
"16","FRA","France",42457.99,20171.81
"17","GBR","England (UK)",38280.0442739586,29361.085
"18","GRC","Greece",22917.3262527084,13133.812
"19","HUN","Hungary",15564,7930.688
"20","IDN","Indonesia",4630.32,2166.313
"21","IRL","Ireland",43220.6588480204,20585.451
"22","ISL","Iceland",41989.44,30042.675
"23","ISR","Israel",47568,21029.968
"24","ITA","Italy",35738.8882987495,18485.92
"25","JPN","Japan",36384,10404.085
"26","LTU","Lithuania",26142.7895412496,11215.149
"27","LUX","Luxembourg",60394.64,34219.114
"28","LVA","Latvia",11927.88,9191.337
"29","MEX","Mexico",16044,6230.653
"30","NOR","Norway",44189,32329.209
"31","NZL","New Zealand",48949,17079.105
"32","POL","Poland",18068,9009.787
"33","PRT","Portugal",15358.53,13679.779
"34","RUS","Russian Federation",15192,5463.75
"35","SAU","Saudi Arabia",40224,8547.939
"36","SVK","Slovak Republic",16399.4360735417,10185.247
"37","SVN","Slovenia",35504.2531468748,13319.562
"38","SWE","Sweden",37000,24241.578
"39","TUR","TÃ¼rkiye",5871.78,3062.756
